KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,TRAVTIME,CAR_USE,BLUEBOOK,TIF,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG,URBANICITY,HOME_VAL_IMPUTED,EDUCATION_CODE,OCCUPATION_FREQ,CAR_TYPE_RISK,RISK_SCORE,CLAIM_RATIO,CAR_Minivan,CAR_Panel Truck,CAR_Pickup,CAR_Sports Car,CAR_Van,CAR_z_SUV,OCC_Clerical,OCC_Lawyer,OCC_Manager,OCC_Other,OCC_Professional,OCC_z_Blue Collar
0,34.0,3,13.0,34019.0,0,91875.0,1,0,27,0,8300.0,7,0,0.0,0,0,0,0.0,20.0,0,1,False,3,0.10009708737864077,0.2917100242802636,0.7875130072840791,0.0,False,False,False,False,False,True,False,True,False,False,False,False
0,31.0,2,12.0,18903.0,0,93797.0,1,0,48,0,17330.0,4,0,0.0,0,0,0,0.0,7.0,0,1,False,0,0.15436893203883495,0.1726698848867434,0.151800965466023,0.0,True,False,False,False,False,False,True,False,False,False,False,False
0,28.0,1,13.0,44077.0,0,170598.0,1,0,29,1,8710.0,6,0,8935.0,2,0,0,6857.0,1.0,1,1,False,1,0.22213592233009707,0.2917100242802636,0.3875130072840791,0.2857142857142857,False,False,False,False,False,True,False,False,False,False,False,True
0,43.0,0,13.0,37214.0,0,205669.0,1,1,52,1,26560.0,1,1,0.0,0,0,3,3627.0,1.0,1,1,False,0,0.22213592233009707,0.2637749120750293,1.379132473622509,0.0,False,True,False,False,False,False,False,False,False,False,False,True
0,48.0,0,14.0,96274.0,0,282904.0,1,0,36,0,11130.0,6,0,8250.0,1,0,5,0.0,14.0,0,1,False,3,0.10009708737864077,0.2917100242802636,2.7875130072840792,0.14285714285714285,False,False,False,False,False,True,False,True,False,False,False,False
0,47.0,0,11.0,46281.0,0,205669.0,0,0,29,0,19700.0,10,0,0.0,0,0,1,0.0,5.0,0,1,False,0,0.22213592233009707,0.1726698848867434,0.5518009654660231,0.0,True,False,False,False,False,False,False,False,False,False,False,True
2,44.0,2,0.0,0.0,0,82344.0,1,0,8,0,5900.0,6,0,3338.0,3,0,0,0.0,11.0,0,1,False,1,0.26485436893203884,0.2917100242802636,0.3875130072840791,0.42857142857142855,False,False,False,False,False,True,False,False,False,True,False,False
0,46.0,0,14.0,53526.0,0,207519.0,1,1,7,1,25660.0,1,0,2119.0,1,0,2,0.0,12.0,0,1,False,2,0.13650485436893203,0.2637749120750293,1.379132473622509,0.5,False,True,False,False,False,False,False,False,False,False,True,False
0,60.0,0,12.0,37940.0,0,182739.0,1,0,16,1,11290.0,1,0,0.0,0,0,0,5247.0,1.0,1,1,False,1,0.22213592233009707,0.3460559796437659,0.40381679389312974,0.0,False,False,False,True,False,False,False,False,False,False,False,True
0,33.0,1,13.0,79606.0,0,225962.0,1,0,27,0,16830.0,9,0,0.0,0,0,2,0.0,15.0,0,0,False,2,0.13650485436893203,0.2917100242802636,1.2875130072840792,0.0,False,False,False,False,False,True,False,False,False,False,True,False
0,32.0,1,9.0,31275.0,0,118160.0,1,0,26,0,10030.0,1,0,0.0,0,0,0,4486.0,1.0,1,1,False,1,0.15436893203883495,0.2917100242802636,0.3875130072840791,0.0,False,False,False,False,False,True,True,False,False,False,False,False
1,44.0,2,17.0,45488.0,0,219378.0,1,1,16,0,22090.0,17,0,0.0,0,0,0,0.0,12.0,0,1,False,2,0.12203883495145632,0.1726698848867434,0.5518009654660231,0.0,True,False,False,False,False,False,False,False,True,False,False,False
0,35.0,0,8.0,72193.0,0,205669.0,0,0,26,0,12220.0,6,0,0.0,0,0,3,0.0,12.0,0,1,False,2,0.15436893203883495,0.2917100242802636,1.7875130072840792,0.0,False,False,False,False,False,True,True,False,False,False,False,False
0,40.0,2,0.0,53526.0,0,98777.0,1,0,15,0,14130.0,6,0,38127.0,2,1,4,0.0,12.0,0,0,False,3,0.26485436893203884,0.2917100242802636,2.2875130072840792,0.2857142857142857,False,False,False,False,False,True,False,False,False,True,False,False
0,54.0,0,12.0,33212.0,0,158432.0,1,1,27,1,24000.0,4,0,0.0,0,0,5,4901.0,8.0,1,1,False,0,0.22213592233009707,0.2637749120750293,2.179132473622509,0.0,False,True,False,False,False,False,False,False,False,False,False,True
0,49.0,0,5.0,49244.0,0,163444.0,1,1,30,0,15880.0,1,0,0.0,0,0,1,0.0,1.0,0,1,False,2,0.15436893203883495,0.1726698848867434,0.951800965466023,0.0,True,False,False,False,False,False,True,False,False,False,False,False
2,36.0,2,12.0,130540.0,1,344195.0,0,0,5,1,27200.0,4,0,0.0,0,0,0,0.0,9.0,0,0,False,2,0.22213592233009707,0.1726698848867434,0.45180096546602305,0.0,True,False,False,False,False,False,False,False,False,False,False,True
0,52.0,0,8.0,51278.0,0,230340.0,1,0,37,0,1500.0,4,0,0.0,0,0,1,0.0,10.0,0,1,False,2,0.13650485436893203,0.2917100242802636,0.9875130072840791,0.0,False,False,False,False,False,True,False,False,False,False,True,False
0,41.0,0,7.0,92842.0,0,286113.0,0,1,12,1,25810.0,6,0,1431.0,2,0,5,0.0,15.0,0,1,False,3,0.26485436893203884,0.2637749120750293,2.779132473622509,0.2857142857142857,False,True,False,False,False,False,False,False,False,True,False,False
0,39.0,0,10.0,35081.0,0,202839.0,1,1,38,1,16640.0,4,1,0.0,0,0,0,0.0,13.0,0,1,False,2,0.22213592233009707,0.2736156351791531,0.5820846905537459,0.0,False,False,False,False,True,False,False,False,False,False,False,True
0,56.0,0,0.0,0.0,0,63827.0,1,0,65,0,13220.0,1,0,0.0,0,0,0,0.0,12.0,0,0,False,4,0.26485436893203884,0.1726698848867434,0.851800965466023,0.0,True,False,False,False,False,False,False,False,False,True,False,False
0,49.0,0,12.0,115044.0,0,311980.0,0,0,18,0,17900.0,1,0,0.0,0,0,0,0.0,14.0,0,1,False,4,0.26485436893203884,0.1726698848867434,0.951800965466023,0.0,True,False,False,False,False,False,False,False,False,True,False,False
0,38.0,0,11.0,37754.0,0,138823.0,1,0,47,0,12080.0,1,0,0.0,0,0,2,0.0,9.0,0,0,False,1,0.15436893203883495,0.2917100242802636,1.087513007284079,0.0,False,False,False,False,False,True,True,False,False,False,False,False
0,43.0,2,17.0,145353.0,0,418785.0,1,0,38,1,29450.0,6,0,0.0,0,0,0,0.0,15.0,0,1,False,3,0.26485436893203884,0.2736156351791531,0.782084690553746,0.0,False,False,False,False,True,False,False,False,False,True,False,False
0,50.0,0,8.0,167469.0,0,205669.0,0,0,22,0,34150.0,4,0,0.0,0,0,3,0.0,1.0,0,1,False,4,0.26485436893203884,0.3460559796437659,2.20381679389313,0.0,False,False,False,True,False,False,False,False,False,True,False,False
0,63.0,0,15.0,121398.0,0,343410.0,1,0,10,0,16270.0,1,0,0.0,0,0,0,0.0,11.0,0,1,False,4,0.26485436893203884,0.2917100242802636,0.9875130072840791,0.0,False,False,False,False,False,True,False,False,False,True,False,False
0,52.0,0,0.0,0.0,0,87925.0,0,0,48,1,9280.0,1,0,0.0,0,0,1,0.0,6.0,0,0,False,1,0.26485436893203884,0.2917100242802636,0.6875130072840792,0.0,False,False,False,False,False,True,False,False,False,True,False,False
0,35.0,0,7.0,14508.0,0,205669.0,1,1,22,1,6450.0,1,0,0.0,0,0,0,0.0,7.0,0,1,False,2,0.26485436893203884,0.31281761716544326,0.593845285149633,0.0,False,False,True,False,False,False,False,False,False,True,False,False
0,43.0,0,13.0,75338.0,0,270555.0,1,0,40,0,23080.0,1,0,0.0,0,0,0,0.0,8.0,0,1,False,2,0.12203883495145632,0.3460559796437659,0.6038167938931298,0.0,False,False,False,True,False,False,False,False,True,False,False,False
0,41.0,0,10.0,32774.0,0,205669.0,0,0,44,0,20120.0,4,0,0.0,0,0,0,0.0,1.0,0,0,False,1,0.15436893203883495,0.1726698848867434,0.25180096546602304,0.0,True,False,False,False,False,False,True,False,False,False,False,False
0,40.0,0,11.0,57474.0,0,186418.0,1,1,5,1,29270.0,4,1,0.0,0,0,1,0.0,5.0,0,1,False,2,0.15436893203883495,0.2637749120750293,0.9791324736225088,0.0,False,True,False,False,False,False,True,False,False,False,False,False
0,31.0,1,12.0,26520.0,0,154493.0,1,1,62,1,4600.0,6,1,0.0,0,0,2,0.0,5.0,0,1,False,2,0.26485436893203884,0.1726698848867434,1.351800965466023,0.0,True,False,False,False,False,False,False,False,False,True,False,False
0,47.0,0,8.0,18444.0,0,205669.0,1,0,35,1,19450.0,6,0,2981.0,2,0,5,0.0,8.0,0,1,False,1,0.26485436893203884,0.2917100242802636,2.3875130072840793,0.2857142857142857,False,False,False,False,False,True,False,False,False,True,False,False
0,53.0,0,11.0,107259.0,0,343700.0,1,1,36,0,29230.0,10,1,0.0,0,0,0,0.0,15.0,0,1,False,3,0.13650485436893203,0.1726698848867434,0.751800965466023,0.0,True,False,False,False,False,False,False,False,False,False,True,False
0,39.0,3,7.0,34046.0,0,183383.0,1,0,33,0,4040.0,6,0,0.0,0,0,0,0.0,5.0,0,0,False,1,0.15436893203883495,0.2917100242802636,0.2875130072840791,0.0,False,False,False,False,False,True,True,False,False,False,False,False
0,33.0,3,14.0,32364.0,0,152894.0,1,1,40,0,12270.0,18,1,0.0,0,0,3,0.0,1.0,0,1,False,0,0.15436893203883495,0.1726698848867434,1.3518009654660232,0.0,True,False,False,False,False,False,True,False,False,False,False,False
0,59.0,0,5.0,106775.0,0,205669.0,0,1,10,0,31930.0,1,1,0.0,0,0,0,0.0,8.0,0,1,False,3,0.10009708737864077,0.1726698848867434,0.751800965466023,0.0,True,False,False,False,False,False,False,True,False,False,False,False
0,42.0,0,11.0,52988.0,0,176275.0,1,1,24,1,23450.0,1,0,0.0,0,0,2,0.0,11.0,0,0,False,1,0.22213592233009707,0.1726698848867434,1.051800965466023,0.0,True,False,False,False,False,False,False,False,False,False,False,True
0,40.0,0,11.0,16989.0,0,205669.0,0,1,20,1,12230.0,4,1,26104.0,1,1,13,6100.0,6.0,1,1,False,0,0.22213592233009707,0.31281761716544326,5.393845285149633,0.2,False,False,True,False,False,False,False,False,False,False,False,True
0,41.0,2,7.0,17755.0,1,148815.0,0,0,29,0,14480.0,1,1,0.0,0,1,2,0.0,1.0,0,1,False,0,0.15436893203883495,0.1726698848867434,0.951800965466023,0.0,True,False,False,False,False,False,True,False,False,False,False,False
1,37.0,2,13.0,53526.0,1,205669.0,0,0,62,1,9360.0,4,0,0.0,0,0,0,6195.0,8.0,1,1,False,1,0.22213592233009707,0.3460559796437659,0.40381679389312974,0.0,False,False,False,True,False,False,False,False,False,False,False,True
0,36.0,3,12.0,56048.0,0,137836.0,1,1,15,0,10700.0,6,0,2045.0,2,0,2,0.0,16.0,0,1,False,3,0.10009708737864077,0.1726698848867434,1.5518009654660232,0.2857142857142857,True,False,False,False,False,False,False,True,False,False,False,False
0,44.0,2,15.0,16352.0,0,134164.0,1,0,37,0,10520.0,1,0,7838.0,1,0,1,8841.0,1.0,1,1,False,1,0.26485436893203884,0.2917100242802636,0.7875130072840791,0.5,False,False,False,False,False,True,False,False,False,True,False,False
0,56.0,0,16.0,44760.0,0,164852.0,1,1,30,0,21770.0,13,1,0.0,0,0,0,0.0,6.0,0,1,False,2,0.12203883495145632,0.1726698848867434,0.5518009654660231,0.0,True,False,False,False,False,False,False,False,True,False,False,False
1,45.0,1,14.0,63952.0,0,196368.0,1,0,50,0,32340.0,6,0,27877.0,2,1,0,2117.0,13.0,1,1,False,3,0.10009708737864077,0.2736156351791531,0.782084690553746,0.2857142857142857,False,False,False,False,True,False,False,True,False,False,False,False
0,34.0,3,12.0,22510.0,0,123888.0,1,1,26,0,14690.0,4,1,0.0,0,1,0,1230.0,1.0,1,0,False,1,0.15436893203883495,0.1726698848867434,0.25180096546602304,0.0,True,False,False,False,False,False,True,False,False,False,False,False
0,48.0,0,11.0,53526.0,0,252896.0,1,1,14,1,28560.0,13,1,1554.0,5,0,1,0.0,10.0,0,1,False,2,0.13650485436893203,0.2637749120750293,0.9791324736225088,0.35714285714285715,False,True,False,False,False,False,False,False,False,False,True,False
1,44.0,2,11.0,24060.0,1,205669.0,0,1,24,0,14220.0,4,0,0.0,0,0,0,3532.0,10.0,1,1,False,2,0.15436893203883495,0.1726698848867434,0.5518009654660231,0.0,True,False,False,False,False,False,True,False,False,False,False,False
0,33.0,4,12.0,20822.0,0,76022.0,1,0,46,0,6880.0,13,0,7896.0,3,0,0,866.0,1.0,1,1,False,1,0.26485436893203884,0.2917100242802636,0.3875130072840791,0.21428571428571427,False,False,False,False,False,True,False,False,False,True,False,False
0,32.0,3,14.0,54968.0,0,146784.0,1,0,20,0,10040.0,4,0,0.0,0,1,0,0.0,8.0,0,1,False,1,0.13650485436893203,0.2917100242802636,0.3875130072840791,0.0,False,False,False,False,False,True,False,False,False,False,True,False
0,34.0,0,8.0,14194.0,0,87034.0,0,0,13,0,2920.0,4,0,24767.0,3,1,2,7786.0,10.0,1,1,False,0,0.15436893203883495,0.3460559796437659,1.00381679389313,0.6,False,False,False,True,False,False,True,False,False,False,False,False
1,38.0,4,12.0,2149.0,0,72889.0,1,0,35,0,22690.0,10,0,0.0,0,0,2,0.0,1.0,0,1,False,0,0.26485436893203884,0.31281761716544326,0.993845285149633,0.0,False,False,True,False,False,False,False,False,False,True,False,False
0,35.0,2,12.0,53526.0,1,205669.0,0,0,43,0,9730.0,5,0,0.0,0,0,4,5426.0,4.0,1,1,False,0,0.22213592233009707,0.2917100242802636,1.7875130072840792,0.0,False,False,False,False,False,True,False,False,False,False,False,True
2,44.0,2,14.0,45576.0,0,156623.0,1,0,27,0,1500.0,4,0,25276.0,1,0,8,0.0,8.0,0,1,False,0,0.22213592233009707,0.3460559796437659,3.40381679389313,0.2,False,False,False,True,False,False,False,False,False,False,False,True
2,43.0,3,11.0,137103.0,1,205669.0,0,0,29,0,19510.0,1,0,8890.0,3,0,0,4148.0,15.0,1,1,False,3,0.12203883495145632,0.3460559796437659,0.8038167938931299,1.5,False,False,False,True,False,False,False,False,True,False,False,False
0,49.0,0,9.0,53526.0,0,205669.0,0,1,31,1,33710.0,3,0,34351.0,2,1,2,0.0,18.0,0,1,False,4,0.26485436893203884,0.2637749120750293,1.779132473622509,0.5,False,True,False,False,False,False,False,False,False,True,False,False
0,46.0,0,10.0,79538.0,0,205669.0,0,0,13,0,14050.0,3,0,0.0,0,1,2,0.0,11.0,0,1,False,2,0.12203883495145632,0.1726698848867434,1.351800965466023,0.0,True,False,False,False,False,False,False,False,True,False,False,False
0,45.0,1,11.0,185836.0,0,509115.0,1,0,28,0,10250.0,1,0,4307.0,3,0,6,0.0,20.0,0,1,False,4,0.10009708737864077,0.2917100242802636,3.38751300728408,1.5,False,False,False,False,False,True,False,True,False,False,False,False
0,46.0,0,14.0,53526.0,0,397661.0,0,1,22,1,33320.0,4,1,0.0,0,1,1,0.0,12.0,0,1,False,3,0.26485436893203884,0.2637749120750293,1.179132473622509,0.0,False,True,False,False,False,False,False,False,False,True,False,False
0,45.0,0,11.0,61931.0,0,213530.0,1,1,30,1,10910.0,13,1,25106.0,2,0,0,0.0,8.0,0,1,False,3,0.26485436893203884,0.31281761716544326,0.793845285149633,0.14285714285714285,False,False,True,False,False,False,False,False,False,True,False,False
0,48.0,0,9.0,61509.0,0,195438.0,1,1,40,1,23230.0,6,1,0.0,0,0,1,0.0,17.0,0,1,False,3,0.26485436893203884,0.2637749120750293,1.179132473622509,0.0,False,True,False,False,False,False,False,False,False,True,False,False
0,63.0,0,9.0,74426.0,0,205669.0,0,0,11,0,27600.0,1,0,0.0,0,0,0,0.0,18.0,0,1,False,4,0.26485436893203884,0.2917100242802636,0.9875130072840791,0.0,False,False,False,False,False,True,False,False,False,True,False,False
0,44.0,0,9.0,74722.0,0,231034.0,1,0,9,0,23640.0,6,0,0.0,0,0,0,0.0,1.0,0,1,False,2,0.13650485436893203,0.1726698848867434,0.5518009654660231,0.0,True,False,False,False,False,False,False,False,False,False,True,False
1,45.0,2,11.0,102393.0,1,205669.0,0,1,25,0,1500.0,1,1,0.0,0,0,2,2371.0,11.0,1,1,False,2,0.13650485436893203,0.1726698848867434,1.351800965466023,0.0,True,False,False,False,False,False,False,False,False,False,True,False
0,62.0,0,15.0,40656.0,0,208242.0,1,0,57,0,9170.0,4,0,42342.0,2,1,2,4178.0,7.0,1,1,False,1,0.15436893203883495,0.3460559796437659,1.20381679389313,0.4,False,False,False,True,False,False,True,False,False,False,False,False
0,48.0,0,0.0,0.0,0,98920.0,1,0,50,0,8660.0,3,0,8363.0,2,0,3,0.0,8.0,0,1,False,1,0.26485436893203884,0.3460559796437659,1.60381679389313,0.5,False,False,False,True,False,False,False,False,False,True,False,False
1,37.0,2,12.0,53526.0,0,205211.0,1,0,43,1,5200.0,1,0,2718.0,1,0,1,4804.0,3.0,1,1,False,2,0.22213592233009707,0.2917100242802636,0.9875130072840791,0.5,False,False,False,False,False,True,False,False,False,False,False,True
0,35.0,0,11.0,29371.0,0,205669.0,0,0,49,0,4860.0,10,0,0.0,0,0,0,0.0,1.0,0,1,False,0,0.15436893203883495,0.3460559796437659,0.2038167938931298,0.0,False,False,False,True,False,False,True,False,False,False,False,False
0,48.0,0,12.0,31773.0,0,165090.0,1,1,14,1,9640.0,13,0,1212.0,1,0,4,1354.0,1.0,1,1,False,1,0.15436893203883495,0.31281761716544326,1.993845285149633,0.07142857142857142,False,False,True,False,False,False,True,False,False,False,False,False
0,39.0,0,11.0,33727.0,0,205669.0,0,0,27,0,10850.0,1,0,8350.0,1,0,2,0.0,12.0,0,1,False,2,0.15436893203883495,0.2917100242802636,1.3875130072840793,0.5,False,False,False,False,False,True,True,False,False,False,False,False
0,49.0,0,0.0,0.0,0,159389.0,1,0,42,0,6400.0,10,0,9115.0,1,0,6,0.0,14.0,0,1,False,3,0.13650485436893203,0.2917100242802636,3.1875130072840796,0.09090909090909091,False,False,False,False,False,True,False,False,False,False,True,False
0,44.0,2,15.0,139330.0,1,316900.0,0,0,35,1,22050.0,10,0,0.0,0,0,0,0.0,1.0,0,0,False,1,0.22213592233009707,0.3460559796437659,0.30381679389312977,0.0,False,False,False,True,False,False,False,False,False,False,False,True
0,50.0,0,13.0,163296.0,0,447616.0,0,0,42,0,22830.0,1,0,0.0,0,0,0,0.0,14.0,0,0,False,4,0.10009708737864077,0.1726698848867434,0.851800965466023,0.0,True,False,False,False,False,False,False,True,False,False,False,False
0,30.0,1,10.0,17455.0,1,140978.0,0,0,50,0,12380.0,13,0,0.0,0,0,0,0.0,6.0,0,0,False,0,0.22213592233009707,0.1726698848867434,0.051800965466023016,0.0,True,False,False,False,False,False,False,False,False,False,False,True
0,54.0,0,11.0,71007.0,0,240833.0,1,1,61,0,14000.0,6,0,0.0,0,0,0,0.0,11.0,0,1,False,2,0.12203883495145632,0.1726698848867434,0.5518009654660231,0.0,True,False,False,False,False,False,False,False,True,False,False,False
0,38.0,0,0.0,0.0,0,205669.0,1,1,41,1,17470.0,10,0,3157.0,2,0,5,0.0,6.0,0,0,False,1,0.26485436893203884,0.2736156351791531,2.282084690553746,0.18181818181818182,False,False,False,False,True,False,False,False,False,True,False,False
0,53.0,0,6.0,38036.0,0,153381.0,1,0,32,1,13140.0,1,0,0.0,0,0,4,2425.0,1.0,1,1,False,1,0.22213592233009707,0.2917100242802636,1.9875130072840792,0.0,False,False,False,False,False,True,False,False,False,False,False,True
0,53.0,0,13.0,41199.0,0,150933.0,0,0,21,0,15360.0,1,0,0.0,0,0,0,0.0,8.0,0,1,False,2,0.12203883495145632,0.2917100242802636,0.5875130072840791,0.0,False,False,False,False,False,True,False,False,True,False,False,False
0,29.0,1,10.0,38042.0,1,202967.0,0,1,15,0,15160.0,6,0,0.0,0,0,0,0.0,1.0,0,1,False,1,0.13650485436893203,0.1726698848867434,0.351800965466023,0.0,True,False,False,False,False,False,False,False,False,False,True,False
0,58.0,0,11.0,91223.0,0,205669.0,0,1,23,0,10620.0,6,0,0.0,0,0,0,0.0,8.0,0,1,False,3,0.10009708737864077,0.31281761716544326,0.793845285149633,0.0,False,False,True,False,False,False,False,True,False,False,False,False
0,55.0,0,7.0,45787.0,0,173196.0,1,0,5,0,19380.0,6,0,0.0,0,0,0,0.0,13.0,0,1,False,3,0.10009708737864077,0.1726698848867434,0.751800965466023,0.0,True,False,False,False,False,False,False,True,False,False,False,False
0,55.0,0,11.0,84964.0,0,227091.0,1,1,21,1,5760.0,1,1,969.0,2,0,6,0.0,11.0,0,1,False,2,0.22213592233009707,0.31281761716544326,2.993845285149633,1.0,False,False,True,False,False,False,False,False,False,False,False,True
0,56.0,0,8.0,38240.0,0,190675.0,1,0,28,0,16220.0,4,0,0.0,0,0,0,0.0,8.0,0,0,False,1,0.15436893203883495,0.2917100242802636,0.2875130072840791,0.0,False,False,False,False,False,True,True,False,False,False,False,False
0,39.0,2,0.0,0.0,0,69369.0,1,0,36,0,8750.0,4,0,0.0,0,0,0,0.0,8.0,0,1,False,1,0.26485436893203884,0.3460559796437659,0.40381679389312974,0.0,False,False,False,True,False,False,False,False,False,True,False,False
2,44.0,2,13.0,142588.0,0,365256.0,1,1,28,0,21790.0,6,1,0.0,0,0,2,0.0,9.0,0,1,False,3,0.12203883495145632,0.1726698848867434,1.5518009654660232,0.0,True,False,False,False,False,False,False,False,True,False,False,False
0,34.0,0,11.0,51565.0,0,205669.0,0,1,36,0,18110.0,1,1,759.0,2,0,3,0.0,15.0,0,1,False,3,0.10009708737864077,0.2736156351791531,1.9820846905537464,1.0,False,False,False,False,True,False,False,True,False,False,False,False
